f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
I,L,H,M,I,F,B,E,L,L,I,N,E,M,I,L
H,P,C,L,I,F,M,F,C,C,M,F,I,F,H,L
B,F,C,C,H,C,M,H,B,M,C,L,H,F,C,P
M,N,L,F,N,F,H,B,I,C,H,P,F,M,L,A
B,L,H,F,H,F,F,M,B,C,F,L,K,F,B,L
B,M,C,P,M,F,L,H,D,F,C,C,H,N,P,C
D,D,K,D,D,M,M,N,D,M,C,F,I,F,E,F
C,M,F,H,B,M,C,I,M,P,M,L,I,F,I,M
F,P,F,H,B,M,P,H,C,B,H,P,L,F,K,F
H,P,H,F,B,F,M,F,H,P,H,F,I,F,I,F
I,D,H,I,I,C,M,B,F,M,C,P,C,F,B,L
B,N,C,F,K,M,F,B,I,M,J,F,I,L,E,F
B,P,C,F,M,M,M,H,B,M,C,M,M,C,F,A
B,P,C,F,I,F,C,I,M,G,C,P,D,C,D,M
I,C,B,B,I,H,L,K,C,P,M,M,K,M,B,B
H,C,C,C,H,F,L,I,C,C,C,L,I,L,M,L
I,F,H,C,B,C,C,C,C,M,H,N,K,P,B,L
I,C,B,B,K,F,C,N,D,C,L,F,M,C,E,F
F,P,F,M,C,C,N,B,C,N,L,H,I,O,K,B
K,D,K,D,D,C,M,C,P,M,C,J,E,F,B,L
I,F,B,H,D,M,M,B,B,M,C,F,I,F,B,F
B,M,H,H,H,C,L,K,C,P,L,C,H,P,I,M
K,B,B,K,D,C,F,K,M,N,M,F,D,F,B,C
I,C,B,B,K,F,M,K,L,N,H,F,K,F,C,F
H,C,C,H,H,H,C,I,C,M,M,N,H,N,M,F
B,L,H,C,B,M,H,I,E,C,D,F,K,M,D,M
B,C,H,B,K,H,N,K,F,N,L,H,D,N,K,B
C,P,L,M,C,N,C,K,H,L,I,C,L,F,K,L
K,H,B,B,D,L,C,K,C,J,H,L,D,C,D,M
K,D,B,K,D,C,O,K,I,F,N,F,K,N,D,F
C,O,B,C,I,C,M,M,I,P,M,L,H,P,H,M
K,E,I,D,D,M,F,B,E,M,F,F,M,L,E,F
I,K,I,B,I,M,M,C,M,M,C,L,K,F,C,L
M,N,L,F,L,L,F,B,H,P,B,M,I,M,H,N
B,N,C,F,B,I,N,K,M,N,P,C,D,P,I,H
K,I,I,K,D,M,M,H,H,P,M,P,K,L,B,P
H,F,M,C,M,M,C,H,H,M,M,P,N,C,K,F
B,M,C,H,C,F,P,H,K,M,M,F,M,L,B,L
I,C,H,B,K,L,K,K,K,M,D,F,K,M,I,M
I,L,B,M,I,L,C,K,H,N,B,L,D,C,K,H
K,C,K,B,D,L,M,E,F,N,H,C,E,M,D,M
C,L,H,B,K,C,F,I,C,L,L,P,H,P,I,C
I,D,B,I,K,C,F,M,M,F,F,A,D,P,B,P
B,F,C,C,M,M,F,H,I,M,L,F,C,F,I,F
I,C,H,M,B,F,F,B,H,M,M,M,I,L,L,N
